,Symbol,Company,Ongoing/ One-time,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Amount transferred to Unspent CSR Account for the project (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village),Category
37,AARTISURF,AARTI SURFACTANTS LTD.,One-time,HEALTH CARE FACILITIES THROUGH FEDERATION OF INDUSTRIES ASSOCIATION,(I) & (XII),"SCHEDULE VII (I), SCHEDULE VII (XII)",,0.8,,,0.8,,,GUJARAT (AHMEDABAD),Medical and Health
38,AARTISURF,AARTI SURFACTANTS LTD.,One-time,HEALTHCARE FACILITIES THROUGH CHIEF MEDICAL SUPERINTENDENT DISTRICT DHAR,(I) & (XII),"SCHEDULE VII (I), SCHEDULE VII (XII)",,7.12,,,7.12,,,MADHYA PRADESH (DHAR),Medical and Health
40,AARVI,AARVI ENCON LTD.,One-time,HUNGER ERADICATION CAMP,"ERADICATING HUNGER, POVERTY AND MALNUTRITION, 2[PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE] AND SANITATION 4[INCLUDING CONTRIBUTION TO THE SWACCH BHARAT KOSH SETUP BY THE CENTRAL GOVERNMENT FOR THE PROMOTION OF SANITATION] AND MAKING AVAILABLE SAFE DRINKING WATER.",SCHEDULE VII (I),,4.1,,BOMBAY SOUTH ROTARY CHARITABLE TRUST,4.1,,,MAHARASHTRA (MUMBAI),Medical and Health
41,AARVI,AARVI ENCON LTD.,One-time,OPD CAMP,"ERADICATING HUNGER, POVERTY AND MALNUTRITION, 2[PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE] AND SANITATION 4[INCLUDING CONTRIBUTION TO THE SWACCH BHARAT KOSH SETUP BY THE CENTRAL GOVERNMENT FOR THE PROMOTION OF SANITATION] AND MAKING VAILABLE SAFE DRINKING WATER.",SCHEDULE VII (I),,2.12,,SAIFEE HOSPITAL TRUST,2.12,,,MAHARASHTRA (MUMBAI),Medical and Health
42,AAVAS,AAVAS FINANCIERS LTD.,One-time,AAVAS VAN,ENVIRONMENT CONSERVATION AND ECOLOGICAL BALANCE,SCHEDULE VII (IV),,30.0,,AAVAS FOUNDATION,30.0,,,RAJASTHAN (JAIPUR),Medical and Health
43,AAVAS,AAVAS FINANCIERS LTD.,One-time,HEALTHCARE & WELLNESS,FIGHT AGAINST COVID19,"SCHEDULE VII (I), SCHEDULE VII (XII)",,30.0,,AAVAS FOUNDATION,30.0,,,RAJASTHAN,Medical and Health
44,AAVAS,AAVAS FINANCIERS LTD.,One-time,HEALTHCARE & WELLNESS,PROMOTING HEALTHCARE,SCHEDULE VII (I),,10.5,,,,SRI SATHYA SAI HEALTH & EDUCATION TRUST,10.5,KARNATAKA (BENGALURU),Medical and Health
50,AAVAS,AAVAS FINANCIERS LTD.,One-time,CYBER SECURITY AWARENESS,PROMOTING EDUCATION,SCHEDULE VII (II),,25.0,,AAVAS FOUNDATION,25.0,,,RAJASTHAN,Medical and Health
53,AAVAS,AAVAS FINANCIERS LTD.,One-time,HEALTHCARE & WELLNESS,FIGHT AGAINST COVID19,"SCHEDULE VII (I), SCHEDULE VII (XII)",,7.8,,,,RURAL DEVELOPMENT TRUST,7.8,TELANGANA (HYDERABAD),Medical and Health
54,AAVAS,AAVAS FINANCIERS LTD.,One-time,HEALTHCARE & WELLNESS,FIGHT AGAINST COVID19,"SCHEDULE VII (I), SCHEDULE VII (XII)",,1.51,,,,TAJ PUBLIC SERVICE WELFARE TRUST,1.51,RAJASTHAN (UDAIPUR),Medical and Health
55,AAVAS,AAVAS FINANCIERS LTD.,One-time,HEALTHCARE & WELLNESS,PROMOTING HEALTHCARE,SCHEDULE VII (I),,10.0,,,,SWAMI SHIVANAND SEVA SAMITI,10.0,UTTARAKHAND (UTTARKASHI),Medical and Health
57,AAVAS,AAVAS FINANCIERS LTD.,One-time,HEALTHCARE & WELLNESS,PROMOTING HEALTHCARE,SCHEDULE VII (I),,0.81,,MANGAL SINGH,0.81,,,RAJASTHAN (JAIPUR),Medical and Health
61,AAVAS,AAVAS FINANCIERS LTD.,One-time,HEALTHCARE & WELLNESS,FIGHT AGAINST COVID19,"SCHEDULE VII (I), SCHEDULE VII (XII)",,21.0,,,,PRIME MINISTERS CITIZEN ASSISTANCE & RELIEF IN EMERGENCY SITUATIONS FUND,21.0,ALL STATES,Medical and Health
65,AAVAS,AAVAS FINANCIERS LTD.,One-time,HEALTHCARE & WELLNESS,FIGHT AGAINST COVID19,"SCHEDULE VII (I), SCHEDULE VII (XII)",,10.0,,AAVAS FOUNDATION,10.0,,,RAJASTHAN (JAIPUR),Medical and Health
69,AAVAS,AAVAS FINANCIERS LTD.,One-time,PLANTATION,ENVIRONMENT CONSERVATION AND ECOLOGICAL BALANCE,SCHEDULE VII (IV),,10.07,,,,SHRI KRISHNA BALRAM SEVA TRUST,10.07,RAJASTHAN (JAIPUR),Medical and Health
71,ABB,ABB INDIA LTD.,Ongoing,"PROVIDING SUPPORT, REQUIRED HEALTH CARE AND MEDICAL ASSISTANCE FOR THE DISADVANTAGED, DISABLED WOMEN AT THE RESIDENTIAL FACILITY OF THE RECIPIENT IN NASHIK.",PREVENTIVE HEALTH CARE,SCHEDULE VII (I),30.0,30.0,,,,GHARKUL PARIVAR SANSTHA,30.0,MAHARASHTRA (NASHIK),Medical and Health
73,ABB,ABB INDIA LTD.,Ongoing,"CONTRIBUTION TOWARDS MEDICAL SUPPLIES AND ESSENTIALS FOR COVID- 19 TO GOTRI GOVERNMENT HOSPITAL, MANEJA",DISASTER RELIEF- COVD-19,"SCHEDULE VII (I), SCHEDULE VII (XII)",1.13,1.13,,,1.13,,,GUJARAT (VADODARA),Medical and Health
75,ABB,ABB INDIA LTD.,Ongoing,"CONTRIBUTION TOWARDS MEDICAL SUPPLIES AND ESSENTIALS FOR COVID-19 TO EMPLOYEE'S STATE INSURANCE CORPORATION (ESIC) MEDICAL COLLEGE, FARIDABAD",DISASTER RELIEF-COVD-19,"SCHEDULE VII (I), SCHEDULE VII (XII)",7.78,7.78,,,7.78,,,HARYANA (FARIDABAD),Medical and Health
76,ABB,ABB INDIA LTD.,Ongoing,OPERATION OF MOBILE HEALTH CARE UNITS FOR COMMUNITIES IN FARIDABAD IN HARYANA,PREVENTIVE HEALTH CARE,SCHEDULE VII (I),36.91,36.91,,,,HELPAGE INDIA,36.91,HARYANA (FARIDABAD),Medical and Health
78,ABB,ABB INDIA LTD.,Ongoing,"CONTRIBUTION TOWARDS MEDICAL SUPPLIES AND ESSENTIALS FOR COVID-19 TO TALUK HOSPITAL, NELAMANGALA, BANGALORE, RURAL.",DISASTER RELIEF- COVD-19,"SCHEDULE VII (I), SCHEDULE VII (XII)",13.91,13.91,,,13.91,,,KARNATAKA (BANGALORE RURAL),Medical and Health
80,ABB,ABB INDIA LTD.,Ongoing,OPERATION OF MOBILE HEALTH CARE UNITS FOR COMMUNITIES IN NASHIK IN MAHARASHTRA,PREVENTIVE HEALTH CARE,SCHEDULE VII (I),36.91,36.91,,,,HELPAGE INDIA,36.91,MAHARASHTRA (NASHIK),Medical and Health
82,ABB,ABB INDIA LTD.,Ongoing,CONTRIBUTION TOWARDS MEDICAL SUPPLIES AND ESSENTIALS FOR COVID-19 TO SHRI GURUJI RUGNALAYA CHARITABLE HOSPITAL NASHIK,DISASTER RELIEF- COVD-19,"SCHEDULE VII (I), SCHEDULE VII (XII)",16.7,16.7,,SHRI GURUJI RUGNALAYA,16.7,,,MAHARASHTRA (NASHIK),Medical and Health
84,ABB,ABB INDIA LTD.,Ongoing,PROCUREMENT AND INSTALLATION OF NEEDED MEDICAL EQUIPMENT AND FACILITIES FOR THE HOSPITALS CANCER CARE FOR POOR AND NEEDY PATIENTS,PREVENTIVE HEALTH CARE,SCHEDULE VII (I),121.0,121.0,,,,SRI SHANKARA CANCER FOUNDATION,121.0,KARNATAKA (BENGALURU),Medical and Health
86,ABB,ABB INDIA LTD.,Ongoing,"OPERATION OF MOBILE HEALTH CARE UNITS FOR COMMUNITIES IN PEENYA AND NELAMANGALA IN KARNATAKA, VADODARA IN GUJARAT.",PREVENTIVE HEALTH CARE,SCHEDULE VII (I),36.91,36.91,,,,HELPAGE INDIA,36.91,"GUJARAT (VADODARA),KARNATAKA (BENGALURU)",Medical and Health
88,ABB,ABB INDIA LTD.,Ongoing,"CONTRIBUTION TOWARDS MEDICAL SUPPLIES AND ESSENTIALS FOR COVID-19 BBMP, DASARAHALLI COVID-19 CARE CENTER",DISASTER RELIEF- COVD-19,"SCHEDULE VII (I), SCHEDULE VII (XII)",4.17,4.17,,,4.18,,,KARNATAKA (BENGALURU),Medical and Health
89,ABB,ABB INDIA LTD.,Ongoing,CONTRIBUTION TOWARDS MEDICAL SUPPLIES AND ESSENTIALS FOR COVID-19 TO GMERS GOVT HOSPITAL FARIDABAD,DISASTER RELIEF- COVD-19,"SCHEDULE VII (I), SCHEDULE VII (XII)",0.12,0.12,,,0.12,,,HARYANA (FARIDABAD),Medical and Health
92,ABB,ABB INDIA LTD.,Ongoing,CONTRIBUTION TOWARDS MEDICAL SUPPLIES AND ESSENTIALS FOR COVID-19,DISASTER RELIEF- COVD-19,"SCHEDULE VII (I), SCHEDULE VII (XII)",3.75,3.75,,,3.75,,,MAHARASHTRA (NASHIK),Medical and Health
93,ABB,ABB INDIA LTD.,Ongoing,CONTRIBUTION TOWARDS MEDICAL SUPPLIES AND ESSENTIALS FOR COVID-19 TO VADODARA MUNICIPAL CORPORATION (VMC),DISASTER RELIEF- COVD-19,"SCHEDULE VII (I), SCHEDULE VII (XII)",7.18,7.18,,,7.18,,,GUJARAT (VADODARA),Medical and Health
94,ABB,ABB INDIA LTD.,Ongoing,"CONTRIBUTION TOWARDS MEDICAL SUPPLIES AND ESSENTIALS FOR COVID-19 TO GOVT COMMUNITY HEALTH CENTER, FARIDABAD",DISASTER RELIEF- COVD-19,"SCHEDULE VII (I), SCHEDULE VII (XII)",7.32,7.32,,,7.32,,,HARYANA (FARIDABAD),Medical and Health
95,ABBOTINDIA,ABBOTT INDIA LTD.,Ongoing,IMPROVING ACCESS TO HEALTHCARE THROUGH HEALTH CLINICS,(I),SCHEDULE VII (I),313.0,313.0,,,313.0,,,ALL STATES,Medical and Health
101,ABMINTLLTD,ABM INTERNATIONAL LTD.,One-time,PROMOTING HEALTH CARE AND WOMEN EMPOWERMENT,ITEM -I & III,"SCHEDULE VII (I), SCHEDULE VII (III)",,3.0,,,,VYOMINI SOCIAL FOUNDATION,3.0,DELHI (NEW DELHI),Medical and Health
116,ACCURACY,ACCURACY SHIPPING LTD.,One-time,FOR THE PURPOSE OF MEDICAL RELIEF TO POOR PEOPLE,,SCHEDULE VII (I),,54.0,,,27.0,,27.0,,Medical and Health
117,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,One-time,HEALTH SERVICES,PROMOTING HEALTH CARE,SCHEDULE VII (I),,11.92,,,,SARVODYA FOUNDATION,11.92,"HARYANA (BALLABHGARH,FARIDABAD,PALWAL)",Medical and Health
119,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,Ongoing,HEALTH SERVICES INCLUDING AMBULANCE AND PATHOLOGY LABORATORY,PROMOTING HEALTH CARE,SCHEDULE VII (I),175.0,160.8,,ACE EMERGENCY RESPONSE SERVICE TRUST,160.8,,,"HARYANA (BALLABHGARH,FARIDABAD,PALWAL)",Medical and Health
120,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,One-time,HEALTH SERVICES,PROMOTING HEALTH CARE,SCHEDULE VII (I),,8.87,,,8.87,,,"HARYANA (BALLABHGARH,FARIDABAD,PALWAL)",Medical and Health
122,ADANIENT,ADANI ENTERPRISES LTD.,One-time,FREE SCHOOLING FACILITIES FOR LOCAL STUDENTS,(II),SCHEDULE VII (II),,135.0,,ADANI FOUNDATION,135.0,,,CHHATTISGARH (SURGUJA),Medical and Health
126,ADANIENT,ADANI ENTERPRISES LTD.,One-time,PROCUREMENT & SUPPLY OF OXYGEN GENERATION PLANT & OXYGEN CONCENTRATOR FOR COVID-19,(XII),SCHEDULE VII (XII),,943.0,,,943.0,,,ALL STATES,Medical and Health
130,ADANIPORTS,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,One-time,PROMOTING HEALTH CARE,(I),SCHEDULE VII (I),,1500.0,,,,DR.AABAJI THATTE SEWA AUR ANUSANDHAN SANSTHA,1500.0,MAHARASHTRA (NAGPUR),Medical and Health
131,ADANIPORTS,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,One-time,COMMUNITY HEALTH,(I),SCHEDULE VII (I),,321.0,,ADANI FOUNDATION,321.0,,,GUJARAT (MUNDRA),Medical and Health
136,ADANIPORTS,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,One-time,PROMOTING HEALTH CARE,(I),SCHEDULE VII (I),,10.0,,,,YUVAK PRATISHTHAN,10.0,MAHARASHTRA (MUMBAI),Medical and Health
137,ADANIPORTS,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,One-time,COVID -19 INITIATIVE,(I),"SCHEDULE VII (I), SCHEDULE VII (XII)",,386.0,,,386.0,,,ALL STATES,Medical and Health
139,ADANITRANS,ADANI TRANSMISSION LTD.,One-time,EXPENDITURE FOR FOOD SUPPORT TO COVID-19 EFFECTED PEOPLE THROUGH VARIOUS AHAR KENDRA,"ITEM NO. (I) OF SCHEDULE VII TO THE ACT  ERADICATING HUNGER, POVERTY AND MALNUTRITION",SCHEDULE VII (I),,26.0,,ADANI FOUNDATION,26.0,,,GUJARAT (AHMEDABAD),Medical and Health
141,AWL,ADANI WILMAR LTD.,One-time,ERADICATING MALNUTRITION AND ANEMIA- PROJECT SUPOSHAN,(I),SCHEDULE VII (I),,342.0,,ADANI FOUNDATION,342.0,,,ALL STATES,Medical and Health
142,AWL,ADANI WILMAR LTD.,One-time,ERADICATING HUNGER AND POVERTY,(I),SCHEDULE VII (I),,56.0,,ADANI FOUNDATION,56.0,,,ALL STATES,Medical and Health
143,AWL,ADANI WILMAR LTD.,One-time,"COMMUNITY HEALTH, HEALTHCARE AND SANITATION",(I),SCHEDULE VII (I),,59.0,,ADANI FOUNDATION,59.0,,,"GUJARAT (MUNDRA),KARNATAKA (UDUPI)",Medical and Health
145,AWL,ADANI WILMAR LTD.,One-time,FOR COVID- 19 SUPPORT MEASURES AND RELIEF,(XII),SCHEDULE VII (XII),,26.0,,,26.0,,,ALL STATES,Medical and Health
146,AWL,ADANI WILMAR LTD.,One-time,FOR COVID- 19 SUPPORT MEASURES AND RELIEF,(XII),SCHEDULE VII (XII),,156.0,,ADANI FOUNDATION,156.0,,,ALL STATES,Medical and Health
148,ADFFOODS,ADF FOODS LTD.,One-time,COVID RELIEF MEASURES,COVID RELIEF,SCHEDULE VII (XII),,5.88,,,,SEVA SAHAYOG FOUNDATION,5.88,"GUJARAT (KHEDA),MAHARASHTRA (NASHIK)",Medical and Health
150,ADFFOODS,ADF FOODS LTD.,One-time,DONATION FOR MEDICAL PURPOSE,HEALTH,SCHEDULE VII (I),,2.11,,,,NIRANT VIVIDH SEVA TRUST,2.11,GUJARAT (KHEDA),Medical and Health
151,ADFFOODS,ADF FOODS LTD.,One-time,SPONSORING FOOD EXPENSES OF RESIDENTIAL CARE CENTRE FOR DISABLED AND POOR PEOPLE,ERADICATION OF HUNGER,SCHEDULE VII (I),,5.0,,,,CUDDLES FOUNDATION,5.0,MAHARASHTRA (MUMBAI),Medical and Health
152,ADFFOODS,ADF FOODS LTD.,One-time,DONATION FOR MEDICAL PURPOSE,HEALTH,SCHEDULE VII (I),,2.25,,,,MAHAGUJARAT MEDICAL SOCIETY,2.25,GUJARAT (KHEDA),Medical and Health
155,ADFFOODS,ADF FOODS LTD.,One-time,COVID RELIEF MEASURES,COVID RELIEF,SCHEDULE VII (XII),,1.5,,,,NIRANT VIVIDH SEVA TRUST,1.5,"GUJARAT (KHEDA),MAHARASHTRA (NASHIK)",Medical and Health
160,ADFFOODS,ADF FOODS LTD.,One-time,DONATION FOR MEDICAL PURPOSE,HEALTH,SCHEDULE VII (I),,9.25,,,,"DHARMSINH DESAI FOUNDATION,THE",9.25,GUJARAT (KHEDA),Medical and Health
162,ADFFOODS,ADF FOODS LTD.,One-time,SPONSORING FOOD EXPENSES OF RESIDENTIAL CARE CENTRE FOR DISABLED AND POOR PEOPLE,ERADICATION OF HUNGER,SCHEDULE VII (I),,5.0,,,,CENTRUM FOUNDATION,5.0,MAHARASHTRA (MUMBAI),Medical and Health
164,ADFFOODS,ADF FOODS LTD.,One-time,SPONSORING FOOD EXPENSES OF RESIDENTIAL CARE CENTRE FOR DISABLED AND POOR PEOPLE,ERADICATION OF HUNGER,SCHEDULE VII (I),,4.0,,,,PREMDAN,4.0,MAHARASHTRA (MUMBAI),Medical and Health
165,ADFFOODS,ADF FOODS LTD.,One-time,SPONSORING FOOD EXPENSES OF RESIDENTIAL CARE CENTRE FOR DISABLED AND POOR PEOPLE,ERADICATION OF HUNGER,SCHEDULE VII (I),,5.0,,,,CHESHIRE HOME,5.0,MAHARASHTRA (MUMBAI),Medical and Health
166,ADFFOODS,ADF FOODS LTD.,One-time,SPONSORING FOOD EXPENSES OF RESIDENTIAL CARE CENTRE FOR DISABLED AND POOR PEOPLE,ERADICATION OF HUNGER,SCHEDULE VII (I),,3.8,,,,SHRIMATIMALTI DAHANUKAR TRUST,3.8,MAHARASHTRA (MUMBAI),Medical and Health
195,,ADITYA VISION LTD.,One-time,HEALTH CARE,(I),SCHEDULE VII (I),,7.79,,,7.79,,,BIHAR (PATNA),Medical and Health
197,,ADITYA VISION LTD.,One-time,HEALTH CARE,(I),SCHEDULE VII (I),,18.0,,,,BHARAT VIKAS VIKLANG NYAS,18.0,BIHAR (PATNA),Medical and Health
205,ADORWELD,ADOR WELDING LTD.,One-time,"SPONSORED TOWARDS THEIR INITIATIVE MISSION OXYGEN HELPING HOSPITALS SAVE LIVES, WHICH HELPED IN PROCURING AND DONATING OXYGEN CONCENTRATORS, SUPPLEMENTING HOSPITAL INFRASTRUCTURE WITH OXYGENATION PLANTS AND OTHER LIFESAVING EQUIMENTS IN THE SECOND WAVE OF COVID-19 PANDEMIC SITUATION",DISASTER MANAGEMENT,"SCHEDULE VII (I), SCHEDULE VII (XII)",,8.0,,,,KETTO,8.0,MAHARASHTRA (MUMBAI),Medical and Health
208,ADORWELD,ADOR WELDING LTD.,One-time,SPONSORING THREE SUPPORT GROUPS HAVING MENTAL HEALTH ISSUES,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,2.25,,,,INSTITUTE FOR PSYCHOLOGICAL HEALTH,2.25,"MAHARASHTRA (PUNE,THANE)",Medical and Health
214,ADORWELD,ADOR WELDING LTD.,One-time,"SPONSORED KITS, CONTAINING ESSENTIAL MATERIALS FOR DAILY USE SUCH AS SAREE, HYGIENE KIT, LUNCH PACKETS, DRY FOOD ETC. TO UNDERPRIVILEGED WIDOWS UNDER MOTHERS APT APPRECIATION MAA PROJECT",LIVELIHOOD ENHANCEMENT PROJECT,SCHEDULE VII (II),,0.25,,,,"ROTARY CLUB, CALCUTTA NORTH EAST WELFARE TRUST",0.25,WEST BENGAL (KOLKATA),Medical and Health
217,ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LTD.,Ongoing,"CONTRIBUTION FOR PROVIDING ORGANIC FERTILIZERS AND EQUIPMENT, IF ANY, THERETO TO FIRST 1000 FARMERS IN VILLAGES AND OTHER PLACES",ENSURING ENVIRONMENTAL SUSTAINABILITY / MAINTAINING QUALITY OF SOIL,SCHEDULE VII (IV),10.0,3.87,6.13,,,LAXMINARAYAN RATHI BAHUUDDESHIYA SEVA SANSTHA,3.87,"MAHARASHTRA (AHMEDNAGAR,NASHIK)",Medical and Health
219,ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LTD.,Ongoing,EDUCATION SUPPORT FOR A CHILD OF A DECEASED EMPLOYEE,PROMOTION OF EDUCATION,SCHEDULE VII (II),7.84,1.45,6.39,,1.45,,,MAHARASHTRA (NASHIK),Medical and Health
220,ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LTD.,One-time,EDUCATION SUPPORT FOR A CHILD OF A DECEASED EMPLOYEE,PROMOTION OF EDUCATION,SCHEDULE VII (II),,1.6,,,1.6,,,"CHANDIGARH,PUNJAB",Medical and Health
221,ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LTD.,One-time,"CONTRIBUTION FOR SUPPORTING AND PROVIDING RELIEF AND HELP TO THOSE AFFECTED, DIRECTLY OR INDIRECTLY DUE TO COVID-19; AND TO DIRECTLY PROCURE AND PROVIDE VENTILATORS/OXYGEN CONCENTRATORS TO THE HOSPITAL(S) / CARE CENTRE(S) / PATIENT(S) IN NASHIK",HEALTHCARE / DISASTER MANAGEMENT,"SCHEDULE VII (I), SCHEDULE VII (XII)",,16.75,,,16.75,,,MAHARASHTRA (NASHIK),Medical and Health
227,AEGISCHEM,AEGIS LOGISTICS LTD.,One-time,"VACCINATION, OXYGEN PLANT",PREVENTIVE HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,11.17,,,11.17,,,MAHARASHTRA (MUMBAI),Medical and Health
228,AEGISCHEM,AEGIS LOGISTICS LTD.,One-time,DISTRIBUTION OF CLOTHS TO THE POOR/ TRANSPORTATION ARRANGEMENT DURING LOCKDOWN/ MONSOON WEAR,LIVELIHOOD ENHANCEMENT PROJECTS,"SCHEDULE VII (I), SCHEDULE VII (II)",,47.22,,,47.22,,,"GUJARAT (KANDLA),KARNATAKA (BENGALURU),MAHARASHTRA (MAHUL),TELANGANA (HYDERABAD),WEST BENGAL (HALDIA)",Medical and Health
229,AEGISCHEM,AEGIS LOGISTICS LTD.,One-time,VESSELS DISTRIBUTION,DISASTER MANAGEMENT,SCHEDULE VII (XII),,18.67,,,18.67,,,"KARNATAKA (BENGALURU,MANGALURU),MAHARASHTRA (MUMBAI),WEST BENGAL (HALDIA)",Medical and Health
230,AEGISCHEM,AEGIS LOGISTICS LTD.,One-time,PROVIDING FOOD TO POOR PEOPLE,ERADICATING HUNGER,SCHEDULE VII (I),,48.75,,,48.75,,,"GUJARAT (KANDLA),MAHARASHTRA (MAHUL),WEST BENGAL (HALDIA)",Medical and Health
232,AFFLE,AFFLE (INDIA) LTD.,One-time,COVID-19 EMERGENCY RESPONSE,"SPENDING OF CSR FUNDS FOR CREATING HEALTH INFRASTRUCTURE FOR COVID-19 CARE, ESTABLISHMENT OF MEDICAL OXYGEN GENERATION AND STORAGE PLANTS","SCHEDULE VII (I), SCHEDULE VII (XII)",,25.0,,,,DEMOCRACY PEOPLE FOUNDATION MISSION OXYGEN,25.0,DELHI (DELHI/ NCR),Medical and Health
